class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,152326,,,,,,0,0,0,0,88556,3757624,5341630,1014588,3142,0,4275392,6712,0,,0,0,8169880,6894120,4105970,1175636,,0,0,0,,,0,0,0,0,0,431992,4305894,4819094,648560,0,16414,11400,15518,23770,2438798,7697656,1982,2,0,0,3748150,1442640,899636,760252,793784,853148,1154092,529804,23148,886,12278630,,,,,4275392,148400,2780638,1310066,341420,398540,344380,350040,327900,399840,316420,438960,33480,152326.52,12278630,12278630,,73501,,,151460,,1209600,,,,,9268960.32,0,927888.96,,,0,0,2362,1217056,4977974,3533026,395764,65842,13342,174,,,12278630,,10066,2376,342800,330422,1737078,7312478,459290,11030,0,0,1054,3902,4913638,244712,0,33284,188,0,8443254,,,,,,,,,,,88964,,,,,,,,,,,,,,,,974736,2421742,1702068,754662,1386418,1078604,914498,526748,444770,1294,,
neg,99336,,2130706438,878,0,0,0,0,0,0,1008,617690,3756408,1302648,37480,0,2737234,0,0,0,0,0,5303272,4685564,693060,486026,0,0,0,0,1038,254,0,0,0,0,0,0,3641516,2034092,39626,0,2850,378,1206,1814,18394,5685970,4622,0,0,0,1837750,956050,414492,405482,395156,430146,1244608,31550,0,0,5997558,0,714,252,28,2737234,71576,297988,393754,125920,139520,129480,153680,,,,,133440,99336.54,5997558,5997558,5988168,34837,48820,107004,1144800,5715234,1209600,189184,2,70,0,4768141.44,0,941651.52,0,1170,0,0,0,19400,1185950,2852736,1500484,140104,14360,2200,6904,7154,5997558,,8920,1036,44830,559926,364606,3635526,1081950,18440,0,0,1348,524,4688296,64298,0,65176,0,36,4815208,5188,380,0,0,0,0,0,0,0,0,43374,68458,28416,0,0,145042,34000,8213640,964164,0,0,0,0,468620,2136.04,2512,999976,763328,476356,260340,433302,399176,330168,306538,1380664,365386,0,0
neg,34,,14,16,0,0,0,0,0,0,90,7386,2112,0,0,0,4026,0,0,0,0,0,9948,7448,8920,832,0,0,0,0,18,12,0,0,0,0,0,0,9588,0,0,0,106,28,26,28,198,9202,0,0,0,0,8380,934,168,36,26,30,10,4,0,0,18880,0,0,0,0,4026,262,6000,2898,,,,,,,,,8740,33.45,18880,18880,20162,15,208,1768,18720,9588,1209600,600,0,4,0,5310.72,0,4224.96,0,10,0,0,0,5206,3874,466,42,0,0,0,0,6,18880,,128,18,22,20,552,2440,4928,1358,122,0,40,44,4714,0,0,26,0,0,5836,62,68,0,0,0,0,0,0,0,0,174,20,4,0,0,352,70,1180,340,0,0,0,0,0,87.2,46,4742,4002,686,50,96,12,0,0,0,0,0,0
neg,2282,,2130706432,298,0,0,0,0,0,0,2894,121356,6694,0,0,0,56238,0,0,0,0,0,123496,113818,18190,7510,0,0,0,0,196,330,0,0,0,0,0,1420,89624,19224,20676,0,76,6,30,70,22552,108210,0,0,0,0,26938,68204,21746,9694,3676,546,128,12,0,0,141704,2,8,112,0,56238,1362,11366,6802,,,,,,,,,17940,2282.29,141704,141704,145870,524,0,14030,141460,130944,1209600,3312,2,8,0,118952.64,0,11897.28,0,20,0,0,0,107826,22744,312,62,0,0,0,0,4,141704,,136,16,988,4816,1914,41112,79306,2560,94,2,574,906,119608,60150,0,12,0,52,119612,98,24,0,0,0,0,0,0,0,0,668,864,278,0,0,2944,794,654700,65488,0,0,0,0,1282290,51.66,58,12876,12552,11574,5818,15232,70100,2740,52,0,0,0,0
neg,10,,6,2,0,0,0,0,0,0,68,2604,1506,0,0,0,1542,0,430,0,0,0,8006,6322,13572,8,0,0,0,0,12,8,0,0,0,0,0,0,0,2500,1678,0,954,36,12,32,120,3024,0,0,0,0,3026,284,126,258,34,32,70,292,38,18,21586,0,2,0,0,1542,124,12452,1112,,,,,,,,,13420,9.84,21586,21586,22214,16,156,2064,21460,4178,1209600,206,0,0,0,1550.4,0,1721.28,,,0,0,0,1756,1542,544,336,0,0,0,0,6,21586,,916,10,20,8,434,1006,1616,168,0,0,6,6,892,56,0,4,0,0,1716,30,84,0,0,0,0,0,0,0,0,132,0,0,148,22,30,14,2180,270,21580,12,0,0,0,,,2806,1110,62,8,30,30,42,90,0,0,0,0
neg,26,,16,16,0,0,0,0,0,0,64,4718,2904,474,0,0,3224,0,0,0,0,0,6580,4604,4566,642,0,0,0,0,36,14,0,0,0,0,0,0,6990,0,1170,0,1350,12,22,20,386,6318,52,0,0,0,6486,780,408,90,58,240,98,0,0,0,11162,0,8,0,0,3224,222,2320,2232,,,,,,,,,4460,26.73,11162,11162,17766,23,124,1014,11020,8160,1209600,476,0,2,0,3842.88,0,3099.84,0,0,0,0,0,4516,2870,752,22,0,0,0,0,4,11162,,1276,6,16,94,608,980,3980,1122,78,0,28,132,3358,66,0,50,0,0,4560,52,36,0,0,0,0,0,0,0,0,140,0,2,0,0,298,52,1640,428,0,0,0,0,0,271.12,42,4550,2940,590,64,16,0,0,0,0,0,0,0
neg,105854,,2130706432,214,0,0,0,0,0,15350,300298,3949112,1568068,144264,19472,1356,2748768,5068,0,0,6606,9708,5241838,4491134,965196,663044,0,0,0,0,1136,386,0,0,0,0,0,104,1991734,441926,3564156,0,2472,642,1056,67750,2967898,2947814,10286,2,0,0,1376462,1609390,659466,491214,339804,261408,298222,941778,20174,2,6214060,786,806,3444,46,2748768,67428,423612,535474,133740,165080,136480,260060,203080,,,,58060,105854.53,6214060,6214060,6157710,45145,31008,9218,157140,5997920,1209600,135420,2,118,0,5367835.2,0,626052.48,0,0,0,998,50892,1644364,3205398,949018,128874,15678,2664,34,558,610,6214060,,6086,804,195852,278074,181372,4101698,1200070,33400,564,0,382,1114,4953610,686244,0,98036,0,30,5428378,3192,514,0,0,0,0,0,0,0,0,40676,85206,44334,0,0,111118,21512,10000140,1197406,0,0,0,0,9971150,1713.56,1834,669840,658888,563206,277594,626818,940408,1063810,937220,259418,718,0,0
neg,30778,,0,,0,0,0,0,0,152,274082,1069998,572414,23920,226,0,1020146,0,142,0,5882,8634,1850550,1751762,151174,75710,0,0,0,0,0,0,0,0,0,0,0,67490,1146916,601248,125138,0,1304,460,586,1100,93794,1813486,30046,10,6,0,802526,326628,142976,94956,78034,115480,275520,104606,66,0,2008026,0,318,82,106,1020146,16732,75430,74886,101040,1310700,1310700,1310700,1310700,1310700,1310700,1310700,46160,30777.12,2008026,2008026,,11807,448090,78000,794200,,1209600,0,,,,1730741.76,0,208025.28,,,0,0,37208,591186,850356,401012,50406,7600,2764,260,,0,2008026,,1940,394,125810,80548,116870,1284344,316724,14150,12,0,,,,,,,,,,1424,106,0,0,0,0,0,0,0,0,8286,36772,7136,0,0,98726,14304,2267980,693706,0,0,0,0,1902860,,,219072,315992,296918,159010,298104,227304,150366,102280,164842,6904,0,0
neg,40812,0,192,174,124,230,0,0,0,0,558402,1544528,58694,4292,0,0,884162,0,42,0,8566,12732,2016538,1851118,574712,134552,0,0,0,0,136,836,0,0,0,0,0,0,575082,1259434,331400,0,1704,1520,2332,3272,7854,2094446,54788,0,0,0,1022832,446562,193544,143608,84048,59178,42658,38308,32640,102538,2599968,122,2030,154,8,884162,24048,402682,171282,257080,279440,,,,,,,35620,40811.7,2599968,2599968,2581862,11746,20,15752,177780,2166828,1209600,38956,0,68,0,1920720.96,0,236252.16,18,496,0,0,11132,253900,678220,841988,204084,149772,25128,1692,0,23470,2599968,0,2910,320,108386,69256,63806,1787756,127898,5506,78,0,132,1618,1947040,1228182,0,220,0,0,1947592,2020,454,0,0,0,0,0,0,0,0,9346,3910,822,1485908,287974,29080,6964,2680,262,2567856,1762,0,0,811770,741.48,696,244804,162156,107006,52122,93160,121332,1286864,89606,8736,130,0,0
neg,39392,,572,526,0,0,0,0,0,0,8344,1377998,1805644,267938,12956,608,1438208,0,0,0,0,0,2965322,2485804,768880,405992,0,0,0,0,720,276,0,0,0,0,0,364330,2179522,529970,399666,0,2722,738,1116,8858,1307516,2134790,17748,0,0,0,1580094,785024,239340,177700,156298,143408,181894,206340,3390,0,3735306,16,554,1314,16,1438208,47960,368342,398706,237960,256960,247060,,,,,,17420,39392.32,3735306,3735306,3737214,17653,2260,4352,96740,3473488,1209600,124912,2,190,0,2765162.88,21432.96,683511.36,0,0,0,0,0,539372,1713514,1066708,134576,16798,2460,60,2,10,3735306,,6784,1098,134678,487686,233034,2041576,549994,18484,154,0,722,734,2650272,50656,0,12446,0,22,2806672,4108,238,0,0,110,21504,0,0,0,0,25276,42300,6592,0,0,98858,17028,269140,34620,67976,4934,0,0,296790,1793.54,2080,748520,1001720,464606,210630,378668,340186,183222,76386,68778,772,0,0
