class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,28,,42,38,0,0,0,0,0,0,130,3142,9526,636,0,0,4682,0,46,0,0,0,13242,8998,12664,1372,0,0,0,0,120,38,0,0,0,0,0,0,11338,0,2096,0,2282,40,60,104,2482,8466,0,0,0,0,10752,954,412,128,72,434,658,24,0,0,25938,2,10,4,0,4682,352,7584,5058,,,,,,,,,12380,28.52,25938,25938,26538,44,32,2366,25700,13434,1209600,620,0,4,0,5036.16,0,6213.12,0,16,0,0,0,2630,9424,1214,142,24,0,0,14,18,25938,,2300,24,28,998,532,1766,6596,1128,62,0,64,164,4156,70,0,34,0,0,5970,94,80,0,0,0,0,0,0,0,0,282,0,0,0,0,184,74,2500,274,0,0,0,0,0,99.5,68,8970,3772,528,54,56,14,6,2,32,0,0,0
neg,8,0,0,0,0,0,0,0,0,0,88,1480,1748,0,0,0,896,0,286,0,0,0,16234,14782,6930,206,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3316,0,1124,2,4,8,20,2158,0,0,0,0,2088,108,72,42,252,502,68,156,28,0,23176,0,4,0,0,896,72,6072,852,,,,,,,,,6880,8.85,23176,23176,24418,23,0,2268,23080,3332,1209600,102,0,0,0,828.48,0,1413.12,0,8,0,0,0,210,1748,1268,68,22,0,0,2,6,23176,0,1122,2,10,614,332,200,868,154,14,0,0,0,782,124,0,0,0,0,1088,18,54,0,0,0,0,0,0,0,0,86,0,0,18,562,14,4,20,2,0,12,0,0,0,54.42,18,2562,420,32,10,38,86,92,76,0,0,0,0
pos,807036,0,2968,546,0,0,0,31162,707960,6712446,14856174,9142464,2230174,409126,48034,2382,23229928,59738,0,0,3099002,4949934,40046034,34866724,16531928,6735748,36,0,0,0,21436,7252,0,0,0,0,0,0,7360,7155276,26977286,0,72608,51230,58782,51870,83732,23386022,4604460,5825218,6000,0,13573434,4402050,2458474,1945712,1723782,1416114,1105954,1057380,660494,5796528,59689060,18592,37232,17944,86,23229928,685912,6812664,9696508,553800,390500,371240,323100,352680,423200,435880,432620,144120,807036.37,59689060,59689060,58815678,243499,59010,67646,309500,54661512,1209600,1572856,0,478,0,43739605.44,0,10875946.56,2894,10174,200932,836262,3846592,5253708,6787716,5472588,5923282,4073684,1415574,329584,5558,13152,59689060,0,56294,6798,2667222,4009490,2260158,21297172,3739186,102650,948,4,782,4798,14684036,5535150,2078,50608,0,0,16083134,65700,40866,0,0,0,0,0,0,0,0,502958,278308,80642,0,0,1518840,270998,2075200,661548,0,0,0,0,463595310,16441.98,15440,7833024,4687418,2987904,1643402,4122922,11368026,1209736,222878,64612,0,0,0
neg,61520,,2130706432,1128,0,0,0,0,0,0,4058,380588,2030460,1101328,17806,706,1576710,0,0,0,0,0,3311134,3075920,329220,198024,0,0,0,0,1876,318,0,0,0,0,0,22964,713066,2228028,570888,0,2126,428,670,48290,2380808,1096148,6476,0,0,0,604376,981192,392006,346030,303056,247720,271086,378548,10932,0,3640578,12,16,210,0,1576710,25810,170902,157666,90540,103960,129840,,,,,,1360,61519.48,3640578,3640578,3627198,29131,1490,119748,7940,3534946,1209600,107994,2,60,0,3290207.04,0,241693.44,0,0,0,0,0,88804,805214,2113820,509144,13792,3814,358,6,12,3640578,,3732,384,18458,129754,84024,2312586,965174,20542,290,2,1584,940,2606834,1744,0,6340,0,18,3306062,1254,642,0,0,0,0,0,0,0,0,13250,46350,17982,0,0,70990,15118,14844640,1558032,0,0,0,0,1774330,771.24,820,255994,559070,413652,215948,554442,574514,433744,218000,288916,20666,0,0
neg,846,0,2130706432,34,0,0,0,0,0,1210,51382,8918,2056,0,0,0,16512,0,0,0,6144,8372,55042,54026,38586,2924,0,0,0,0,10,42,0,0,0,0,0,0,0,35872,27694,0,122,8,22,534,376,820,61402,20,262,0,39312,13960,6656,2260,748,448,150,28,4,0,99840,8,34,4,0,16512,542,30958,7352,,,,,,,,,38060,846.01,99840,99840,99942,313,0,9782,99140,64180,1209600,992,2,6,0,41625.6,20.16,21552,0,22,0,1300,27092,29294,5120,628,132,0,0,0,0,6,99840,0,1000,20,178,1008,9008,51450,902,0,0,0,74,76,42470,3002,0,0,0,0,42478,108,92,0,0,0,20,0,0,0,0,650,36,12,0,0,354,112,112160,11218,0,0,0,0,0,1.24,82,22850,5888,1878,584,2126,5090,8192,16958,0,0,0,0
neg,53852,,578,454,0,0,0,0,0,0,286,59376,2419118,1174454,52342,758,1625034,0,0,0,0,0,3341604,2942092,714876,338870,0,0,0,0,650,98,0,0,0,0,0,45422,486024,2520684,654204,0,3910,3402,5382,186880,3107762,398964,34,0,0,0,1268630,851308,373930,331348,302544,250234,192566,135666,108,0,4057152,76,72,1464,4,1625034,49938,457482,255660,176060,155300,314200,,,,,,63060,53851.18,4057152,4057152,4063860,23298,17874,38862,420940,3706334,1209600,132418,0,274,0,3124923.84,0,578921.28,0,0,0,0,0,6442,675384,2584252,411524,23472,5152,108,6,30,4057152,,5032,628,55484,336460,207088,2107272,973452,20816,102,0,930,352,2999478,64800,28,12058,0,0,3151272,2454,214,0,0,0,0,0,0,0,0,23252,66918,10788,0,0,124082,22096,476360,69270,0,0,0,0,4566520,1713.3,1424,605904,800440,467058,201072,390258,321516,249774,193028,451832,25452,0,0
neg,14,,22,20,0,0,0,0,0,0,58,1444,5122,0,0,0,2742,0,0,0,0,0,7038,3858,14506,1024,0,0,0,0,32,20,0,0,0,0,0,0,4474,0,2150,0,56,8,28,24,942,5564,2,0,0,0,5864,486,126,124,22,2,0,0,0,0,21572,0,14,2,0,2742,182,11250,3216,,,,,,,,,14320,14.03,21572,21572,23076,11,378,2004,21380,6624,1209600,350,2,6,0,2551.68,0,4022.4,0,0,0,0,0,88,5996,500,40,0,0,0,0,4,21572,,92,12,30,332,166,1732,3448,578,234,0,38,162,2980,268,0,4,0,20,3746,50,36,0,0,0,0,0,0,0,0,170,0,0,0,0,70,14,10980,2934,0,0,0,0,0,38.26,42,4468,1930,226,0,0,0,0,0,0,0,0,0
neg,14,0,32,,0,0,0,0,0,0,10,2890,8020,0,0,0,4740,0,0,0,0,0,11346,7028,32618,1208,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10920,0,104,64,74,348,1104,748,8478,0,0,0,9690,216,76,144,90,474,112,102,8,8,44002,0,8,18,0,4740,266,28384,4208,,,,,,,,,32400,14.04,44002,44002,43802,40,0,4192,43700,10980,1209600,0,,,,2488.32,16.32,7164.48,2,22,0,0,0,1628,7604,1582,106,0,0,0,,0,44002,0,1338,12,16,20,2120,6754,656,4,0,0,,,,,,,,,,54,106,0,0,40,32,0,0,0,0,280,0,0,726,204,94,22,25920,2616,42914,10,0,0,0,1.28,68,8560,2076,58,38,50,104,24,10,0,0,0,0
neg,14,2,48,30,0,0,0,0,0,0,24,810,7368,0,0,0,3404,0,0,0,0,0,8924,5856,4150,630,0,0,0,0,12,24,0,0,0,0,0,0,0,2174,6028,0,98,18,36,994,50,304,6702,0,0,0,6628,546,134,98,58,64,134,304,120,116,13104,0,0,16,0,3404,216,1198,2934,,,,,,,,,3920,13.18,13104,13104,13062,26,0,1108,12820,8260,1209600,372,2,0,0,2534.4,0,4566.72,6,22,0,0,0,0,6660,740,802,0,0,0,0,4,13104,0,1070,26,24,116,72,2152,4188,528,26,0,58,42,3146,22,0,12,0,0,3150,76,58,0,0,0,0,0,0,0,0,218,0,0,1042,326,48,28,4200,414,7330,18,0,0,0,1.2,70,5832,2016,228,36,68,18,4,0,0,0,0,0
neg,59418,,200,190,0,0,0,0,0,0,4708,1420920,1934736,191964,2742,0,1641264,1430,0,0,0,0,3167700,2701600,607820,355888,0,0,0,0,320,130,0,0,0,0,0,148,1815958,1450536,288428,0,3280,592,1156,145346,2061198,1343060,438,0,0,0,1034618,1130936,365122,255972,203314,172764,201656,190470,218,0,3776774,966,56,1484,4,1641264,43328,271868,333618,179320,168000,224680,,,,,,24920,59418.62,3776774,3776774,3740038,21036,25762,5636,136600,3555070,1209600,85332,0,72,0,3197178.24,0,354336.96,0,0,0,0,0,179590,1818788,1359962,174246,18782,3612,90,164,172,3776774,,6982,1014,61952,211258,102894,2184780,955798,30270,122,0,306,324,3133216,174946,0,53228,0,50,3224672,3602,130,0,0,0,0,0,0,0,0,25760,58658,10798,0,0,92514,14492,67720,25090,0,0,0,0,2286700,1885.98,2194,382522,462046,362184,223704,746454,709466,294390,146532,210896,16876,0,0
